X,CH1,Start,Increment
Sequence,VOLT,4.75E-05,1.00E-06
272,-2.80E-04,,
273,-2.80E-04,,
274,-2.80E-04,,
275,-2.80E-04,,
276,-2.80E-04,,
277,-5.60E-04,,
278,-5.60E-04,,
279,-5.60E-04,,
280,-8.40E-04,,
281,-8.40E-04,,
282,-8.40E-04,,
283,-8.40E-04,,
284,-8.40E-04,,
285,-8.40E-04,,
286,-1.12E-03,,
287,-1.12E-03,,
288,-1.12E-03,,
289,-1.12E-03,,
290,-1.12E-03,,
291,-1.12E-03,,
292,-1.12E-03,,
293,-1.12E-03,,
294,-1.12E-03,,
295,-1.12E-03,,
296,-1.40E-03,,
297,-1.40E-03,,
298,-1.68E-03,,
299,-1.68E-03,,
300,-1.68E-03,,
301,-1.68E-03,,
302,-1.68E-03,,
303,-1.96E-03,,
304,-1.96E-03,,
305,-1.96E-03,,
306,-1.96E-03,,
307,-1.96E-03,,
308,-1.96E-03,,
309,-1.96E-03,,
310,-2.24E-03,,
311,-2.24E-03,,
312,-2.24E-03,,
313,-2.24E-03,,
314,-2.24E-03,,
315,-2.24E-03,,
316,-2.24E-03,,
317,-2.24E-03,,
318,-2.24E-03,,
319,-2.24E-03,,
320,-2.24E-03,,
321,-2.24E-03,,
322,-2.24E-03,,
323,-2.24E-03,,
324,-2.24E-03,,
325,-2.24E-03,,
326,-2.24E-03,,
327,-2.24E-03,,
328,-1.96E-03,,
329,-1.96E-03,,
330,-1.96E-03,,
331,-1.96E-03,,
332,-1.96E-03,,
333,-1.68E-03,,
334,-1.68E-03,,
335,-1.68E-03,,
336,-1.68E-03,,
337,-1.68E-03,,
338,-1.68E-03,,
339,-1.68E-03,,
340,-1.40E-03,,
341,-1.40E-03,,
342,-1.40E-03,,
343,-1.12E-03,,
344,-1.12E-03,,
345,-1.12E-03,,
346,-1.12E-03,,
347,-8.40E-04,,
348,-8.40E-04,,
349,-8.40E-04,,
350,-5.60E-04,,
351,-5.60E-04,,
352,-5.60E-04,,
353,-2.80E-04,,
354,-2.80E-04,,
355,-2.80E-04,,
356,-2.80E-04,,
357,0.00E+00,,
358,0.00E+00,,
359,0.00E+00,,
360,2.80E-04,,
361,2.80E-04,,
362,5.60E-04,,
363,5.60E-04,,
364,5.60E-04,,
365,5.60E-04,,
366,8.40E-04,,
367,8.40E-04,,
368,8.40E-04,,
