X,CH1,Start,Increment,adjusted
Sequence,VOLT,4.52E-05,1.00E-06,
0,1.20E-03,,,0.00E+00
1,1.20E-03,,,0.00E+00
2,1.20E-03,,,0.00E+00
3,1.20E-03,,,0.00E+00
4,1.20E-03,,,0.00E+00
5,1.20E-03,,,0.00E+00
6,1.20E-03,,,0.00E+00
7,1.20E-03,,,0.00E+00
8,1.20E-03,,,0.00E+00
9,1.20E-03,,,0.00E+00
10,1.20E-03,,,0.00E+00
11,1.20E-03,,,0.00E+00
12,1.20E-03,,,0.00E+00
13,1.20E-03,,,0.00E+00
14,1.20E-03,,,0.00E+00
15,1.20E-03,,,0.00E+00
16,1.20E-03,,,0.00E+00
17,1.20E-03,,,0.00E+00
18,1.20E-03,,,0.00E+00
19,1.20E-03,,,0.00E+00
20,1.20E-03,,,0.00E+00
21,1.20E-03,,,0.00E+00
22,1.20E-03,,,0.00E+00
23,1.20E-03,,,0.00E+00
24,1.20E-03,,,0.00E+00
25,1.20E-03,,,0.00E+00
26,1.20E-03,,,0.00E+00
27,1.20E-03,,,0.00E+00
28,1.20E-03,,,0.00E+00
29,1.20E-03,,,0.00E+00
30,1.20E-03,,,0.00E+00
31,1.20E-03,,,0.00E+00
32,1.20E-03,,,0.00E+00
33,1.20E-03,,,0.00E+00
34,1.20E-03,,,0.00E+00
35,1.20E-03,,,0.00E+00
36,1.20E-03,,,0.00E+00
37,1.20E-03,,,0.00E+00
38,1.20E-03,,,0.00E+00
39,1.20E-03,,,0.00E+00
40,1.20E-03,,,0.00E+00
41,1.20E-03,,,0.00E+00
42,1.20E-03,,,0.00E+00
43,1.20E-03,,,0.00E+00
44,1.20E-03,,,0.00E+00
45,1.20E-03,,,0.00E+00
46,1.20E-03,,,0.00E+00
47,1.20E-03,,,0.00E+00
48,1.20E-03,,,0.00E+00
49,1.20E-03,,,0.00E+00
50,1.20E-03,,,0.00E+00
51,1.20E-03,,,0.00E+00
52,1.20E-03,,,0.00E+00
53,1.20E-03,,,0.00E+00
54,1.20E-03,,,0.00E+00
55,1.20E-03,,,0.00E+00
56,1.20E-03,,,0.00E+00
57,1.20E-03,,,0.00E+00
58,1.20E-03,,,0.00E+00
59,1.20E-03,,,0.00E+00
60,1.20E-03,,,0.00E+00
61,1.20E-03,,,0.00E+00
62,1.20E-03,,,0.00E+00
63,1.20E-03,,,0.00E+00
64,1.20E-03,,,0.00E+00
65,1.20E-03,,,0.00E+00
66,1.20E-03,,,0.00E+00
67,1.20E-03,,,0.00E+00
68,1.20E-03,,,0.00E+00
69,1.20E-03,,,0.00E+00
70,1.20E-03,,,0.00E+00
71,1.20E-03,,,0.00E+00
72,1.20E-03,,,0.00E+00
73,1.20E-03,,,0.00E+00
74,1.20E-03,,,0.00E+00
75,1.20E-03,,,0.00E+00
76,1.20E-03,,,0.00E+00
77,1.20E-03,,,0.00E+00
78,1.20E-03,,,0.00E+00
79,1.20E-03,,,0.00E+00
80,1.20E-03,,,0.00E+00
81,1.20E-03,,,0.00E+00
82,1.20E-03,,,0.00E+00
83,1.20E-03,,,0.00E+00
84,1.20E-03,,,0.00E+00
85,1.20E-03,,,0.00E+00
86,1.20E-03,,,0.00E+00
87,1.20E-03,,,0.00E+00
88,1.20E-03,,,0.00E+00
89,1.20E-03,,,0.00E+00
90,1.20E-03,,,0.00E+00
91,1.20E-03,,,0.00E+00
92,1.20E-03,,,0.00E+00
93,1.20E-03,,,0.00E+00
94,1.20E-03,,,0.00E+00
95,1.20E-03,,,0.00E+00
96,1.20E-03,,,0.00E+00
97,1.20E-03,,,0.00E+00
98,2.40E-03,,,1.20E-03
99,2.40E-03,,,1.20E-03
100,2.40E-03,,,1.20E-03
101,2.40E-03,,,1.20E-03
102,2.40E-03,,,1.20E-03
103,2.40E-03,,,1.20E-03
104,2.40E-03,,,1.20E-03
105,2.40E-03,,,1.20E-03
106,2.40E-03,,,1.20E-03
107,2.40E-03,,,1.20E-03
108,2.40E-03,,,1.20E-03
109,2.40E-03,,,1.20E-03
110,2.40E-03,,,1.20E-03
111,2.40E-03,,,1.20E-03
112,2.40E-03,,,1.20E-03
113,1.20E-03,,,0.00E+00
114,1.20E-03,,,0.00E+00
115,2.40E-03,,,1.20E-03
116,2.40E-03,,,1.20E-03
117,2.40E-03,,,1.20E-03
118,2.40E-03,,,1.20E-03
119,2.40E-03,,,1.20E-03
120,2.40E-03,,,1.20E-03
121,2.40E-03,,,1.20E-03
122,2.40E-03,,,1.20E-03
123,2.40E-03,,,1.20E-03
124,2.40E-03,,,1.20E-03
125,2.40E-03,,,1.20E-03
126,2.40E-03,,,1.20E-03
127,2.40E-03,,,1.20E-03
128,2.40E-03,,,1.20E-03
129,2.40E-03,,,1.20E-03
130,2.40E-03,,,1.20E-03
131,2.40E-03,,,1.20E-03
132,2.40E-03,,,1.20E-03
133,3.60E-03,,,2.40E-03
134,3.60E-03,,,2.40E-03
135,3.60E-03,,,2.40E-03
136,3.60E-03,,,2.40E-03
137,3.60E-03,,,2.40E-03
138,3.60E-03,,,2.40E-03
139,3.60E-03,,,2.40E-03
140,3.60E-03,,,2.40E-03
141,4.80E-03,,,3.60E-03
142,4.80E-03,,,3.60E-03
143,4.80E-03,,,3.60E-03
144,4.80E-03,,,3.60E-03
145,4.80E-03,,,3.60E-03
146,4.80E-03,,,3.60E-03
147,6.00E-03,,,4.80E-03
148,6.00E-03,,,4.80E-03
149,6.00E-03,,,4.80E-03
150,6.00E-03,,,4.80E-03
151,6.00E-03,,,4.80E-03
152,6.00E-03,,,4.80E-03
153,7.20E-03,,,6.00E-03
154,7.20E-03,,,6.00E-03
155,7.20E-03,,,6.00E-03
156,7.20E-03,,,6.00E-03
157,7.20E-03,,,6.00E-03
158,7.20E-03,,,6.00E-03
159,7.20E-03,,,6.00E-03
160,8.40E-03,,,7.20E-03
161,8.40E-03,,,7.20E-03
162,8.40E-03,,,7.20E-03
163,8.40E-03,,,7.20E-03
164,8.40E-03,,,7.20E-03
165,8.40E-03,,,7.20E-03
166,8.40E-03,,,7.20E-03
167,8.40E-03,,,7.20E-03
168,8.40E-03,,,7.20E-03
169,9.60E-03,,,8.40E-03
170,9.60E-03,,,8.40E-03
171,9.60E-03,,,8.40E-03
172,9.60E-03,,,8.40E-03
173,9.60E-03,,,8.40E-03
174,9.60E-03,,,8.40E-03
175,9.60E-03,,,8.40E-03
176,9.60E-03,,,8.40E-03
177,9.60E-03,,,8.40E-03
178,9.60E-03,,,8.40E-03
179,1.08E-02,,,9.60E-03
180,1.08E-02,,,9.60E-03
181,1.08E-02,,,9.60E-03
182,1.08E-02,,,9.60E-03
183,1.08E-02,,,9.60E-03
184,1.08E-02,,,9.60E-03
185,1.08E-02,,,9.60E-03
186,1.08E-02,,,9.60E-03
187,1.08E-02,,,9.60E-03
188,1.08E-02,,,9.60E-03
189,1.08E-02,,,9.60E-03
190,1.08E-02,,,9.60E-03
191,1.08E-02,,,9.60E-03
192,1.20E-02,,,1.08E-02
193,1.20E-02,,,1.08E-02
194,1.20E-02,,,1.08E-02
195,1.20E-02,,,1.08E-02
196,1.20E-02,,,1.08E-02
197,1.20E-02,,,1.08E-02
198,1.20E-02,,,1.08E-02
199,1.20E-02,,,1.08E-02
200,1.20E-02,,,1.08E-02
201,1.20E-02,,,1.08E-02
202,1.20E-02,,,1.08E-02
203,1.20E-02,,,1.08E-02
204,1.20E-02,,,1.08E-02
205,1.20E-02,,,1.08E-02
206,1.20E-02,,,1.08E-02
207,1.20E-02,,,1.08E-02
208,1.20E-02,,,1.08E-02
209,1.20E-02,,,1.08E-02
210,1.20E-02,,,1.08E-02
