X,CH1,Start,Increment,adjusted,
Sequence,VOLT,4.75E-05,1.00E-06,,
757,0.00224,,,0.00896,45.42
758,0.00224,,,0.00924,45.48
759,0.00252,,,0.00952,45.54
760,0.0028,,,0.00952,45.6
761,0.0028,,,0.00952,45.66
762,0.00308,,,0.0098,45.72
763,0.00308,,,0.0098,45.78
764,0.00336,,,0.0098,45.84
765,0.00336,,,0.01008,45.9
766,0.00364,,,0.01008,45.96
767,0.00364,,,0.01008,46.02
768,0.00392,,,0.01008,46.08
769,0.00392,,,0.01036,46.14
770,0.0042,,,0.01036,46.2
771,0.0042,,,0.01036,46.26
772,0.00448,,,0.01036,46.32
773,0.00448,,,0.01036,46.38
774,0.00476,,,0.01036,46.44
775,0.00476,,,0.01036,46.5
776,0.00476,,,0.01064,46.56
777,0.00504,,,0.01064,46.62
778,0.00532,,,0.01064,46.68
779,0.00532,,,0.01064,46.74
780,0.00532,,,0.01064,46.8
781,0.0056,,,0.01064,46.86
782,0.0056,,,0.01064,46.92
783,0.00588,,,0.01064,46.98
784,0.00588,,,0.01064,47.04
785,0.00616,,,0.01064,47.1
786,0.00616,,,0.01064,47.16
787,0.00644,,,0.01064,47.22
788,0.00644,,,0.01064,47.28
789,0.00672,,,0.01064,47.34
790,0.00672,,,0.01064,47.4
791,0.00672,,,0.01064,47.46
792,0.00672,,,0.01064,47.52
793,0.007,,,0.01064,47.58
794,0.00728,,,0.01064,47.64
795,0.00728,,,0.01064,47.7
796,0.00728,,,0.01064,47.76
797,0.00756,,,0.01064,47.82
798,0.00756,,,0.01064,47.88
799,0.00756,,,0.01064,47.94
800,0.00784,,,0.01064,48
801,0.00784,,,0.01092,48.06
802,0.00784,,,0.01092,48.12
803,0.00784,,,0.01092,48.18
804,0.00812,,,0.01092,48.24
805,0.00812,,,0.01064,48.3
806,0.00812,,,0.01064,48.36
807,0.00812,,,0.01064,48.42
808,0.00812,,,0.01064,48.48
809,0.00812,,,0.01064,48.54
810,0.00812,,,0.01064,48.6
811,0.0084,,,0.01064,48.66
812,0.0084,,,0.01036,48.72
813,0.0084,,,0.01036,48.78
814,0.0084,,,0.01036,48.84
815,0.0084,,,0.01036,48.9
816,0.0084,,,0.01036,48.96
817,0.0084,,,0.01036,49.02
818,0.0084,,,0.01008,49.08
819,0.0084,,,0.01008,49.14
820,0.0084,,,0.0098,49.2
821,0.0084,,,0.0098,49.26
822,0.0084,,,0.0098,49.32
823,0.0084,,,0.00952,49.38
824,0.0084,,,0.00952,49.44
825,0.0084,,,0.00952,49.5
826,0.0084,,,0.00952,49.56
827,0.0084,,,0.00952,49.62
828,0.0084,,,0.00924,49.68
829,0.0084,,,0.00924,49.74
830,0.0084,,,0.00896,49.8
831,0.0084,,,0.00896,49.86
832,0.0084,,,0.00868,49.92
833,0.0084,,,0.00868,49.98
834,0.0084,,,0.00868,50.04
835,0.0084,,,0.00868,50.1
836,0.00868,,,0.0084,50.16
837,0.00868,,,0.00812,50.22
838,0.00868,,,0.00812,50.28
839,0.00868,,,0.00812,50.34
840,0.0084,,,0.00784,50.4
841,0.0084,,,0.00784,50.46
842,0.0084,,,0.00784,50.52
843,0.0084,,,0.00784,50.58
844,0.0084,,,0.00756,50.64
845,0.0084,,,0.00756,50.7
846,0.0084,,,0.00728,50.76
847,0.00812,,,0.00728,50.82
848,0.00812,,,0.00728,50.88
849,0.00812,,,0.007,50.94
850,0.00812,,,0.007,51
851,0.00812,,,0.007,51.06
852,0.00812,,,0.00672,51.12
853,0.00784,,,0.00672,51.18
854,0.00784,,,0.00644,51.24
855,0.00756,,,0.00616,51.3
856,0.00756,,,0.00616,51.36
857,0.00756,,,0.00616,51.42
858,0.00728,,,0.00588,51.48
859,0.00728,,,0.00588,51.54
860,0.00728,,,0.00588,51.6
861,0.00728,,,0.00588,51.66
862,0.00728,,,0.0056,51.72
863,0.007,,,0.00532,51.78
864,0.007,,,0.00532,51.84
865,0.00672,,,0.00532,51.9
866,0.00672,,,0.00504,51.96
867,0.00644,,,0.00504,52.02
868,0.00644,,,0.00504,52.08
869,0.00644,,,0.00476,52.14
870,0.00644,,,0.00476,52.2
871,0.00616,,,0.00476,52.26
872,0.00588,,,0.00448,52.32
873,0.00588,,,0.00448,52.38
874,0.00588,,,0.0042,52.44
875,0.0056,,,0.0042,52.5
876,0.0056,,,0.0042,52.56
877,0.0056,,,0.00392,52.62
878,0.0056,,,0.00392,52.68
879,0.00532,,,0.00392,52.74
880,0.00532,,,0.00392,52.8
881,0.00504,,,0.00364,52.86
882,0.00504,,,0.00364,52.92
883,0.00504,,,0.00364,52.98
884,0.00476,,,0.00364,53.04
885,0.00476,,,0.00364,53.1
886,0.00476,,,0.00364,53.16
887,0.00448,,,0.00336,53.22
888,0.00448,,,0.00336,53.28
889,0.0042,,,0.00336,53.34
890,0.00392,,,0.00336,53.4
891,0.00392,,,0.00336,53.46
892,0.00392,,,0.00336,53.52
893,0.00364,,,0.00336,53.58
894,0.00364,,,0.00336,53.64
895,0.00364,,,0.00336,53.7
896,0.00364,,,0.00336,53.76
897,0.00336,,,0.00336,53.82
898,0.00308,,,0.00364,53.88
899,0.00308,,,0.00364,53.94
900,0.00308,,,0.00364,54
901,0.0028,,,0.00364,54.06
902,0.0028,,,0.00364,54.12
903,0.0028,,,0.00364,54.18
904,0.00252,,,0.00364,54.24
905,0.00252,,,0.00392,54.3
906,0.00252,,,0.00392,54.36
907,0.00224,,,0.00392,54.42
908,0.00224,,,0.00392,54.48
909,0.00196,,,0.0042,54.54
910,0.00196,,,0.0042,54.6
911,0.00196,,,0.0042,54.66
912,0.00168,,,0.00448,54.72
913,0.00168,,,0.00448,54.78
914,0.00168,,,0.00448,54.84
915,0.00168,,,0.00476,54.9
916,0.0014,,,0.00476,54.96
917,0.0014,,,0.00476,55.02
918,0.0014,,,0.00504,55.08
919,0.0014,,,0.00504,55.14
920,0.0014,,,0.00504,55.2
921,0.0014,,,0.00532,55.26
922,0.00112,,,0.0056,55.32
923,0.00112,,,0.0056,55.38
924,0.00112,,,0.0056,55.44
925,0.00112,,,0.00588,55.5
926,0.00112,,,0.00588,55.56
927,0.00112,,,0.00616,55.62
928,0.00112,,,0.00616,55.68
929,0.00112,,,0.00616,55.74
930,0.00112,,,0.00644,55.8
931,0.00112,,,0.00644,55.86
932,0.00112,,,0.00672,55.92
933,0.0014,,,0.00672,55.98
934,0.0014,,,0.007,56.04
935,0.0014,,,0.007,56.1
936,0.0014,,,0.00728,56.16
937,0.0014,,,0.00728,56.22
938,0.0014,,,0.00756,56.28
939,0.0014,,,0.00756,56.34
940,0.00168,,,0.00784,56.4
941,0.00168,,,0.00784,56.46
942,0.00168,,,0.00784,56.52
943,0.00168,,,0.00812,56.58
944,0.00196,,,0.00812,56.64
945,0.00196,,,0.00812,56.7
946,0.00196,,,0.0084,56.76
947,0.00224,,,0.0084,56.82
948,0.00224,,,0.00868,56.88
949,0.00224,,,0.00868,56.94
950,0.00252,,,0.00896,57
951,0.00252,,,0.00896,57.06
952,0.00252,,,0.00924,57.12
953,0.0028,,,0.00924,57.18
954,0.0028,,,0.00952,57.24
955,0.0028,,,0.00952,57.3
956,0.00308,,,0.0098,57.36
957,0.00336,,,0.0098,57.42
958,0.00336,,,0.0098,57.48
959,0.00336,,,0.01008,57.54
960,0.00364,,,0.01036,57.6
961,0.00364,,,0.01036,57.66
962,0.00392,,,0.01064,57.72
963,0.00392,,,0.01064,57.78
964,0.00392,,,0.01064,57.84
965,0.0042,,,0.01092,57.9
966,0.0042,,,0.01092,57.96
967,0.00448,,,0.01092,58.02
968,0.00448,,,0.01092,58.08
969,0.00476,,,0.0112,58.14
970,0.00476,,,0.0112,58.2
971,0.00504,,,0.01148,58.26
972,0.00504,,,0.01148,58.32
973,0.00532,,,0.01176,58.38
974,0.00532,,,0.01176,58.44
975,0.0056,,,0.01176,58.5
976,0.0056,,,0.01204,58.56
977,0.0056,,,0.01204,58.62
978,0.00588,,,0.01204,58.68
979,0.00588,,,0.01204,58.74
980,0.00588,,,0.01204,58.8
981,0.00616,,,0.01234,58.86
982,0.00616,,,0.01234,58.92
983,0.00644,,,0.01234,58.98
984,0.00644,,,0.01264,59.04
985,0.00672,,,0.01264,59.1
986,0.00672,,,0.01284,59.16
987,0.007,,,0.01284,59.22
988,0.007,,,0.01284,59.28
989,0.00728,,,0.01284,59.34
990,0.00728,,,0.01314,59.4
991,0.00756,,,0.01314,59.46
992,0.00756,,,0.01314,59.52
993,0.00756,,,0.01314,59.58
994,0.00784,,,0.01314,59.64
995,0.00812,,,0.01344,59.7
996,0.00812,,,0.01344,59.76
997,0.0084,,,0.01344,59.82
998,0.0084,,,0.01344,59.88
999,0.0084,,,0.01344,59.94
1000,0.00868,,,0.01344,60
1001,0.00868,,,0.01344,60.06
1002,0.00868,,,0.01344,60.12
1003,0.00868,,,0.01344,60.18
1004,0.00896,,,0.01344,60.24
1005,0.00896,,,0.01344,60.3
1006,0.00924,,,0.01344,60.36
1007,0.00924,,,0.01344,60.42
1008,0.00952,,,0.01344,60.48
1009,0.00952,,,0.01344,60.54
1010,0.00952,,,0.01374,60.6
1011,0.0098,,,0.01374,60.66
1012,0.0098,,,0.01374,60.72
1013,0.0098,,,0.01374,60.78
1014,0.0098,,,0.01374,60.84
1015,0.0098,,,0.01374,60.9
1016,0.0101,,,0.01374,60.96
1017,0.0101,,,0.01374,61.02
1018,0.0101,,,0.01374,61.08
1019,0.0104,,,0.01374,61.14
1020,0.0104,,,0.01374,61.2
1021,0.0106,,,0.01374,61.26
1022,0.0106,,,0.01374,61.32
1023,0.0106,,,0.01374,61.38
1024,0.0106,,,0.01374,61.44
1025,0.0109,,,0.01374,61.5
1026,0.0109,,,0.01344,61.56
1027,0.0109,,,0.01344,61.62
1028,0.0109,,,0.01344,61.68
1029,0.0109,,,0.01344,61.74
1030,0.0112,,,0.01314,61.8
1031,0.0112,,,0.01314,61.86
1032,0.0112,,,0.01314,61.92
1033,0.0112,,,0.01314,61.98
1034,0.0112,,,0.01314,62.04
1035,0.0112,,,0.01284,62.1
1036,0.0112,,,0.01284,62.16
1037,0.0112,,,0.01264,62.22
1038,0.0112,,,0.01264,62.28
1039,0.0112,,,0.01264,62.34
1040,0.0112,,,0.01264,62.4
1041,0.0112,,,0.01234,62.46
1042,0.0112,,,0.01234,62.52
1043,0.0112,,,0.01234,62.58
1044,0.0112,,,0.01234,62.64
1045,0.0115,,,0.01204,62.7
1046,0.0115,,,0.01204,62.76
1047,0.0115,,,0.01176,62.82
1048,0.0115,,,0.01176,62.88
1049,0.0115,,,0.01176,62.94
1050,0.0115,,,0.01176,63
1051,0.0115,,,0.01176,63.06
1052,0.0115,,,0.01148,63.12
1053,0.0115,,,0.01148,63.18
1054,0.0115,,,0.01148,63.24
1055,0.0115,,,0.0112,63.3
1056,0.0115,,,0.0112,63.36
1057,0.0115,,,0.0112,63.42
1058,0.0115,,,0.01092,63.48
1059,0.0115,,,0.01092,63.54
1060,0.0115,,,0.01092,63.6
1061,0.0112,,,0.01064,63.66
1062,0.0112,,,0.01064,63.72
1063,0.0112,,,0.01064,63.78
1064,0.0112,,,0.01036,63.84
1065,0.0109,,,0.01036,63.9
1066,0.0109,,,0.01036,63.96
1067,0.0109,,,0.01008,64.02
1068,0.0109,,,0.01008,64.08
1069,0.0109,,,0.0098,64.14
1070,0.0106,,,0.0098,64.2
1071,0.0106,,,0.0098,64.26
1072,0.0104,,,0.00952,64.32
1073,0.0104,,,0.00952,64.38
1074,0.0104,,,0.00952,64.44
1075,0.0104,,,0.00924,64.5
1076,0.0101,,,0.00924,64.56
1077,0.0101,,,0.00896,64.62
1078,0.0101,,,0.00896,64.68
1079,0.0101,,,0.00896,64.74
1080,0.0098,,,0.00868,64.8
1081,0.0098,,,0.00868,64.86
1082,0.00952,,,0.00868,64.92
1083,0.00952,,,0.00868,64.98
1084,0.00952,,,0.0084,65.04
1085,0.00952,,,0.0084,65.1
1086,0.00952,,,0.0084,65.16
1087,0.00924,,,0.0084,65.22
1088,0.00924,,,0.0084,65.28
1089,0.00924,,,0.0084,65.34
1090,0.00896,,,0.0084,65.4
1091,0.00896,,,0.0084,65.46
1092,0.00896,,,0.00812,65.52
1093,0.00868,,,0.00812,65.58
1094,0.00868,,,0.00812,65.64
1095,0.00868,,,0.00812,65.7
1096,0.0084,,,0.00812,65.76
1097,0.0084,,,0.00812,65.82
1098,0.0084,,,0.00812,65.88
1099,0.00812,,,0.00812,65.94
1100,0.00812,,,0.00812,66
1101,0.00812,,,0.00812,66.06
1102,0.00784,,,0.00812,66.12
1103,0.00784,,,0.00812,66.18
1104,0.00756,,,0.00812,66.24
1105,0.00756,,,0.00812,66.3
1106,0.00756,,,0.00812,66.36
1107,0.00728,,,0.00812,66.42
1108,0.00728,,,0.00812,66.48
1109,0.00728,,,0.00812,66.54
1110,0.007,,,0.00812,66.6
1111,0.007,,,0.00784,66.66
1112,0.00672,,,0.00784,66.72
1113,0.00672,,,0.00784,66.78
1114,0.00672,,,0.00784,66.84
1115,0.00644,,,0.00784,66.9
1116,0.00644,,,0.00784,66.96
1117,0.00644,,,0.00784,67.02
1118,0.00644,,,0.00784,67.08
1119,0.00616,,,0.00784,67.14
1120,0.00616,,,0.00784,67.2
1121,0.00616,,,0.00784,67.26
1122,0.00616,,,0.00812,67.32
1123,0.00616,,,0.00812,67.38
1124,0.00616,,,0.00812,67.44
1125,0.00616,,,0.0084,67.5
1126,0.00616,,,0.0084,67.56
1127,0.00588,,,0.0084,67.62
1128,0.00588,,,0.0084,67.68
1129,0.00588,,,0.0084,67.74
1130,0.00588,,,0.0084,67.8
1131,0.00588,,,0.0084,67.86
1132,0.00588,,,0.00868,67.92
1133,0.00588,,,0.00868,67.98
1134,0.00588,,,0.00868,68.04
1135,0.00588,,,0.00896,68.1
1136,0.00588,,,0.00896,68.16
1137,0.00588,,,0.00896,68.22
1138,0.00588,,,0.00924,68.28
1139,0.00588,,,0.00924,68.34
1140,0.00588,,,0.00924,68.4
1141,0.00588,,,0.00924,68.46
1142,0.00588,,,0.00952,68.52
1143,0.00588,,,0.00952,68.58
1144,0.00588,,,0.0098,68.64
1145,0.00588,,,0.0098,68.7
1146,0.0056,,,0.0098,68.76
1147,0.0056,,,0.01008,68.82
1148,0.0056,,,0.01008,68.88
1149,0.0056,,,0.01008,68.94
1150,0.0056,,,0.01036,69
1151,0.0056,,,0.01036,69.06
1152,0.0056,,,0.01064,69.12
1153,0.0056,,,0.01064,69.18
1154,0.0056,,,0.01092,69.24
1155,0.0056,,,0.01092,69.3
1156,0.0056,,,0.01092,69.36
1157,0.00588,,,0.01092,69.42
1158,0.00588,,,0.0112,69.48
1159,0.00588,,,0.0112,69.54
1160,0.00616,,,0.01148,69.6
1161,0.00616,,,0.01148,69.66
1162,0.00616,,,0.01176,69.72
1163,0.00616,,,0.01176,69.78
1164,0.00616,,,0.01176,69.84
1165,0.00616,,,0.01204,69.9
1166,0.00616,,,0.01204,69.96
1167,0.00644,,,0.01234,70.02
1168,0.00644,,,0.01234,70.08
1169,0.00644,,,0.01234,70.14
1170,0.00672,,,0.01264,70.2
1171,0.00672,,,0.01264,70.26
1172,0.00672,,,0.01284,70.32
1173,0.007,,,0.01284,70.38
1174,0.007,,,0.01314,70.44
1175,0.007,,,0.01314,70.5
1176,0.007,,,0.01344,70.56
1177,0.00728,,,0.01344,70.62
1178,0.00728,,,0.01374,70.68
1179,0.00756,,,0.01374,70.74
1180,0.00756,,,0.01374,70.8
1181,0.00756,,,0.01404,70.86
1182,0.00784,,,0.01404,70.92
1183,0.00784,,,0.01424,70.98
1184,0.00784,,,0.01424,71.04
1185,0.00812,,,0.01424,71.1
1186,0.00812,,,0.01454,71.16
1187,0.0084,,,0.01454,71.22
1188,0.0084,,,0.01484,71.28
1189,0.00868,,,0.01484,71.34
1190,0.00868,,,0.01484,71.4
1191,0.00868,,,0.01484,71.46
1192,0.00868,,,0.01514,71.52
1193,0.00896,,,0.01514,71.58
1194,0.00896,,,0.01544,71.64
1195,0.00924,,,0.01544,71.7
1196,0.00924,,,0.01564,71.76
1197,0.00952,,,0.01564,71.82
1198,0.00952,,,0.01564,71.88
1199,0.00952,,,0.01564,71.94
1200,0.0098,,,0.01594,72
1201,0.0098,,,0.01594,72.06
1202,0.0101,,,0.01594,72.12
1203,0.0101,,,0.01594,72.18
1204,0.0101,,,0.01594,72.24
1205,0.0104,,,0.01624,72.3
1206,0.0104,,,0.01624,72.36
1207,0.0106,,,0.01654,72.42
1208,0.0106,,,0.01654,72.48
1209,0.0109,,,0.01654,72.54
1210,0.0109,,,0.01654,72.6
1211,0.0112,,,0.01684,72.66
1212,0.0112,,,0.01684,72.72
1213,0.0115,,,0.01684,72.78
1214,0.0115,,,0.01684,72.84
1215,0.0115,,,0.01704,72.9
1216,0.0118,,,0.01704,72.96
1217,0.0118,,,0.01704,73.02
1218,0.012,,,0.01704,73.08
1219,0.012,,,0.01704,73.14
1220,0.012,,,0.01704,73.2
1221,0.0123,,,0.01704,73.26
1222,0.0123,,,0.01704,73.32
1223,0.0126,,,0.01734,73.38
1224,0.0126,,,0.01734,73.44
1225,0.0126,,,0.01734,73.5
1226,0.0126,,,0.01734,73.56
1227,0.0129,,,0.01734,73.62
1228,0.0129,,,0.01734,73.68
1229,0.0132,,,0.01734,73.74
1230,0.0132,,,0.01734,73.8
1231,0.0134,,,0.01734,73.86
1232,0.0134,,,0.01734,73.92
1233,0.0134,,,0.01734,73.98
1234,0.0134,,,0.01734,74.04
1235,0.0137,,,0.01734,74.1
1236,0.0137,,,0.01734,74.16
1237,0.0137,,,0.01734,74.22
1238,0.0137,,,0.01734,74.28
1239,0.0137,,,0.01734,74.34
1240,0.014,,,0.01734,74.4
1241,0.014,,,0.01734,74.46
1242,0.0143,,,0.01734,74.52
1243,0.0143,,,0.01734,74.58
1244,0.0143,,,0.01734,74.64
1245,0.0143,,,0.01734,74.7
1246,0.0146,,,0.01734,74.76
1247,0.0146,,,0.01734,74.82
1248,0.0146,,,0.01734,74.88
1249,0.0146,,,0.01734,74.94
1250,0.0148,,,0.01734,75
1251,0.0148,,,0.01734,75.06
1252,0.0148,,,0.01734,75.12
1253,0.0148,,,0.01734,75.18
1254,0.0148,,,0.01734,75.24
1255,0.0148,,,0.01704,75.3
1256,0.0148,,,0.01704,75.36
1257,0.0148,,,0.01704,75.42
1258,0.0151,,,0.01704,75.48
1259,0.0151,,,0.01704,75.54
1260,0.0151,,,0.01704,75.6
1261,0.0151,,,0.01684,75.66
1262,0.0151,,,0.01684,75.72
1263,0.0151,,,0.01684,75.78
1264,0.0151,,,0.01684,75.84
1265,0.0151,,,0.01684,75.9
1266,0.0151,,,0.01684,75.96
1267,0.0151,,,0.01684,76.02
1268,0.0151,,,0.01684,76.08
1269,0.0151,,,0.01654,76.14
1270,0.0151,,,0.01654,76.2
1271,0.0151,,,0.01654,76.26
1272,0.0151,,,0.01624,76.32
1273,0.0151,,,0.01624,76.38
1274,0.0151,,,0.01624,76.44
1275,0.0151,,,0.01624,76.5
1276,0.0151,,,0.01594,76.56
1277,0.0151,,,0.01594,76.62
1278,0.0151,,,0.01594,76.68
1279,0.0151,,,0.01594,76.74
1280,0.0151,,,0.01594,76.8
1281,0.0151,,,0.01594,76.86
1282,0.0151,,,0.01594,76.92
1283,0.0151,,,0.01594,76.98
1284,0.0151,,,0.01564,77.04
1285,0.0151,,,0.01594,77.1
1286,0.0151,,,0.01564,77.16
1287,0.0151,,,0.01564,77.22
1288,0.0151,,,0.01564,77.28
1289,0.0151,,,0.01544,77.34
1290,0.0148,,,0.01544,77.4
1291,0.0148,,,0.01544,77.46
1292,0.0148,,,0.01544,77.52
1293,0.0148,,,0.01544,77.58
1294,0.0148,,,0.01544,77.64
1295,0.0148,,,0.01544,77.7
1296,0.0146,,,0.01424,77.76
1297,0.0146,,,0.01284,77.82
1298,0.0146,,,0.01176,77.88
1299,0.0146,,,0.01064,77.94
1300,0.0146,,,0.0098,78
1301,0.0146,,,0.00896,78.06
1302,0.0146,,,0.00812,78.12
1303,0.0146,,,0.00756,78.18
1304,0.0143,,,0.007,78.24
1305,0.0143,,,0.00616,78.3
1306,0.0143,,,0.00588,78.36
1307,0.014,,,0.00532,78.42
1308,0.014,,,0.00476,78.48
1309,0.014,,,0.00448,78.54
1310,0.014,,,0.0042,78.6
1311,0.0137,,,0.00392,78.66
1312,0.0137,,,0.00364,78.72
1313,0.0137,,,0.00336,78.78
1314,0.0137,,,0.00308,78.84
1315,0.0137,,,0.0028,78.9
1316,0.0137,,,0.00252,78.96
1317,0.0137,,,0.00252,79.02
1318,0.0137,,,0.00224,79.08
1319,0.0134,,,0.00196,79.14
1320,0.0137,,,0.00196,79.2
1321,0.0134,,,0.00196,79.26
1322,0.0134,,,0.00168,79.32
1323,0.0134,,,0.00168,79.38
1324,0.0132,,,0.00168,79.44
1325,0.0132,,,0.0014,79.5
1326,0.0132,,,0.0014,79.56
1327,0.0132,,,0.00112,79.62
1328,0.0132,,,0.00112,79.68
1329,0.0132,,,0.00112,79.74
1330,0.0132,,,0.00084,79.8
1331,0.012,,,0.00084,79.86
1332,0.0106,,,0.00084,79.92
1333,0.00952,,,0.00084,79.98
1334,0.0084,,,0.00084,80.04
1335,0.00756,,,0.00056,80.1
1336,0.00672,,,0.00056,80.16
1337,0.00588,,,0.00056,80.22
1338,0.00532,,,0.00056,80.28
1339,0.00476,,,0.00056,80.34
1340,0.00392,,,0.00056,80.4
1341,0.00364,,,0.00056,80.46
1342,0.00308,,,0.00056,80.52
1343,0.00252,,,0.00028,80.58
1344,0.00224,,,0.00028,80.64
1345,0.00196,,,0.00028,80.7
1346,0.00168,,,0.00028,80.76
1347,0.0014,,,0.00028,80.82
1348,0.00112,,,0.00028,80.88
1349,0.00084,,,0.00028,80.94
1350,0.00056,,,0.00028,81
1351,0.00028,,,0.00028,81.06
1352,0.00028,,,0.00028,81.12
1353,0,,,0.00028,81.18
1354,-0.00028,,,0.00028,81.24
1355,-0.00028,,,0.00028,81.3
1356,-0.00028,,,0.00028,81.36
1357,-0.00056,,,0.00028,81.42
1358,-0.00056,,,0.00028,81.48
1359,-0.00056,,,0.00028,81.54
1360,-0.00084,,,0.00028,81.6
1361,-0.00084,,,0.00028,81.66
1362,-0.00112,,,0.00028,81.72
1363,-0.00112,,,0.00028,81.78
1364,-0.00112,,,0.00028,81.84
1365,-0.0014,,,,81.9
1366,-0.0014,,,,81.96
1367,-0.0014,,,,82.02
1368,-0.0014,,,,82.08
1369,-0.0014,,,,82.14
1370,-0.00168,,,,82.2
1371,-0.00168,,,,82.26
1372,-0.00168,,,,82.32
1373,-0.00168,,,,82.38
1374,-0.00168,,,,82.44
1375,-0.00168,,,,82.5
1376,-0.00168,,,,82.56
1377,-0.00168,,,,82.62
1378,-0.00196,,,,82.68
1379,-0.00196,,,,82.74
1380,-0.00196,,,,82.8
1381,-0.00196,,,,82.86
1382,-0.00196,,,,82.92
1383,-0.00196,,,,82.98
1384,-0.00196,,,,83.04
1385,-0.00196,,,,83.1
1386,-0.00196,,,,83.16
1387,-0.00196,,,,83.22
1388,-0.00196,,,,83.28
1389,-0.00196,,,,83.34
1390,-0.00196,,,,83.4
1391,-0.00196,,,,83.46
1392,-0.00196,,,,83.52
1393,-0.00196,,,,83.58
1394,-0.00196,,,,83.64
1395,-0.00196,,,,83.7
1396,-0.00196,,,,83.76
1397,-0.00196,,,,83.82
1398,-0.00196,,,,83.88
1399,-0.00196,,,,83.94
