X,CH1,Start,Increment,adjusted
Sequence,VOLT,4.75E-05,1.00E-06,
223,0.0014,,,0.00392
224,0.0014,,,0.00392
225,0.0014,,,0.00392
226,0.0014,,,0.00392
227,0.0014,,,0.00392
228,0.0014,,,0.00392
229,0.0014,,,0.00392
230,0.0014,,,0.00392
231,0.0014,,,0.00392
232,0.0014,,,0.00392
233,0.0014,,,0.00392
234,0.00112,,,0.00364
235,0.00112,,,0.00364
236,0.00112,,,0.00364
237,0.00112,,,0.00364
238,0.00084,,,0.00336
239,0.00084,,,0.00336
240,0.00084,,,0.00336
241,0.00084,,,0.00336
242,0.00084,,,0.00336
243,0.00084,,,0.00336
244,0.00084,,,0.00336
245,0.00084,,,0.00336
246,0.00084,,,0.00336
247,0.00084,,,0.00336
248,0.00084,,,0.00336
249,0.00056,,,0.00308
250,0.00056,,,0.00308
251,0.00056,,,0.00308
252,0.00056,,,0.00308
253,0.00056,,,0.00308
254,0.00056,,,0.00308
255,0.00056,,,0.00308
256,0.00056,,,0.00308
257,0.00056,,,0.00308
258,0.00056,,,0.00308
259,0.00056,,,0.00308
260,0.00028,,,0.0028
261,0.00028,,,0.0028
262,0.00028,,,0.0028
263,0.00028,,,0.0028
264,0,,,0.00252
265,0,,,0.00252
266,0,,,0.00252
267,0,,,0.00252
268,0,,,0.00252
269,0,,,0.00252
270,0,,,0.00252
271,-0.00028,,,0.00224
272,-0.00028,,,0.00224
273,-0.00028,,,0.00224
274,-0.00028,,,0.00224
275,-0.00028,,,0.00224
276,-0.00028,,,0.00224
277,-0.00056,,,0.00196
278,-0.00056,,,0.00196
279,-0.00056,,,0.00196
280,-0.00084,,,0.00168
281,-0.00084,,,0.00168
282,-0.00084,,,0.00168
283,-0.00084,,,0.00168
284,-0.00084,,,0.00168
285,-0.00084,,,0.00168
286,-0.00112,,,0.0014
287,-0.00112,,,0.0014
288,-0.00112,,,0.0014
289,-0.00112,,,0.0014
290,-0.00112,,,0.0014
291,-0.00112,,,0.0014
292,-0.00112,,,0.0014
293,-0.00112,,,0.0014
294,-0.00112,,,0.0014
295,-0.00112,,,0.0014
296,-0.0014,,,0.00112
297,-0.0014,,,0.00112
298,-0.00168,,,0.00084
299,-0.00168,,,0.00084
300,-0.00168,,,0.00084
301,-0.00168,,,0.00084
302,-0.00168,,,0.00084
303,-0.00196,,,0.00056
304,-0.00196,,,0.00056
305,-0.00196,,,0.00056
306,-0.00196,,,0.00056
307,-0.00196,,,0.00056
308,-0.00196,,,0.00056
309,-0.00196,,,0.00056
310,-0.00224,,,0.00028
311,-0.00224,,,0.00028
312,-0.00224,,,0.00028
313,-0.00224,,,0.00028
314,-0.00224,,,0.00028
315,-0.00224,,,0.00028
316,-0.00224,,,0.00028
317,-0.00224,,,0.00028
318,-0.00224,,,0.00028
319,-0.00224,,,0.00028
320,-0.00224,,,0.00028
321,-0.00224,,,0.00028
322,-0.00224,,,0.00028
323,-0.00224,,,0.00028
324,-0.00224,,,0.00028
325,-0.00224,,,0.00028
326,-0.00224,,,0.00028
327,-0.00224,,,0.00028
328,-0.00196,,,0.00056
329,-0.00196,,,0.00056
330,-0.00196,,,0.00056
331,-0.00196,,,0.00056
332,-0.00196,,,0.00056
333,-0.00168,,,0.00084
334,-0.00168,,,0.00084
335,-0.00168,,,0.00084
336,-0.00168,,,0.00084
337,-0.00168,,,0.00084
338,-0.00168,,,0.00084
339,-0.00168,,,0.00084
340,-0.0014,,,0.00112
341,-0.0014,,,0.00112
342,-0.0014,,,0.00112
343,-0.00112,,,0.0014
344,-0.00112,,,0.0014
345,-0.00112,,,0.0014
346,-0.00112,,,0.0014
347,-0.00084,,,0.00168
348,-0.00084,,,0.00168
349,-0.00084,,,0.00168
350,-0.00056,,,0.00196
351,-0.00056,,,0.00196
352,-0.00056,,,0.00196
353,-0.00028,,,0.00224
